idiom,dict_page,pdf_page,raw_entry_head
be the straw that broke the camel’s back,36,51,be the last straw and be the straw that broke the camel’s back
be the spit and image of someone,36,51,be the spit and image of someone and be the spitting image of someone
be the spitting image of someone,36,51,be the spit and image of someone and be the spitting image of someone
be to do something,36,51,be to do something
be too,36,51,be too and be so
be used to doing something,36,51,be used to doing something
be used to something,36,51,be used to something and be used to doing something
be with someone,36,51,be with someone
bear a grudge (against someone),36,51,bear a grudge (against someone) and have a grudge (against someone); hold a grudge (against someone)
have a grudge (against someone),36,51,bear a grudge (against someone) and have a grudge (against someone); hold a grudge (against someone)
hold a grudge (against someone),36,51,bear a grudge (against someone) and have a grudge (against someone); hold a grudge (against someone)
bear fruit,36,51,bear fruit
bear in mind that something is so,36,51,bear in mind that something is so
bear one’s cross,36,51,bear one’s cross and carry one’s cross
carry one’s cross,36,51,bear one’s cross and carry one’s cross
bear someone or something in mind,36,51,bear someone or something in mind
bear something out,36,51,bear something out
bear the brunt (of something),36,51,bear the brunt (of something)
bear watching,36,51,bear watching
bear with someone or something,37,52,bear with someone or something
beard the lion in his den,37,52,beard the lion in his den
beat about the bush,37,52,beat about the bush
beat a dead horse,37,52,beat a dead horse
beat a (hasty) retreat,37,52,beat a (hasty) retreat
beat a path to someone’s door,37,52,beat a path to someone’s door
beat around the bush,37,52,beat around the bush and beat about the bush
beat one’s brains out (to do something),37,52,beat one’s brains out (to do something)
beat one’s head against the wall,37,52,beat one’s head against the wall and bang one’s head against a brick wall
beat someone down (to size),37,52,beat someone down (to size) and knock someone down (to size)
knock someone down (to size),37,52,beat someone down (to size) and knock someone down (to size)
beat someone to the draw,37,52,beat someone to the draw
beat someone to the punch,37,52,beat someone to the punch and beat someone to the draw
beat someone up,37,52,beat someone up
beat something into someone’s head,37,52,beat something into someone’s head
beat the clock,37,52,beat the clock
beat the gun,37,52,beat the gun
jump the gun.,38,53,jump the gun.
beat the living daylights out of someone,38,53,beat the living daylights out of someone and beat the stuffing out of someone;beat the tar out of someone; whale the tar out of someone
beat the stuffing out of someone,38,53,beat the living daylights out of someone and beat the stuffing out of someone;beat the tar out of someone; whale the tar out of someone
beat the tar out of someone,38,53,beat the living daylights out of someone and beat the stuffing out of someone;beat the tar out of someone; whale the tar out of someone
whale the tar out of someone,38,53,beat the living daylights out of someone and beat the stuffing out of someone;beat the tar out of someone; whale the tar out of someone
beat the pants off someone,38,53,beat the pants off someone 1.
beat the rap,38,53,beat the rap
Beauty is only skin-deep.,38,53,Beauty is only skin-deep.
becoming on someone,38,53,becoming on someone
becoming to someone,38,53,becoming to someone
a bed of roses,38,53,a bed of roses
beef something up,38,53,beef something up
beer and skittles,38,53,beer and skittles
before long,38,53,before long
before you can say Jack Robinson,38,53,before you can say Jack Robinson
before you know it,38,53,before you know it
beg off (on something),38,53,beg off (on something)
beg the question,38,53,beg the question 1.
beg to differ (with someone),39,54,beg to differ (with someone)
beggar description,39,54,beggar description
Beggars can’t be choosers.,39,54,Beggars can’t be choosers.
begin to see daylight,39,54,begin to see daylight
begin to see the light,39,54,begin to see the light
beginning of the end,39,54,beginning of the end
behind closed doors,39,54,behind closed doors
behind in something,39,54,behind in something and behind on something
behind on something,39,54,behind in something and behind on something
behind schedule,39,54,behind schedule
behind someone’s back,39,54,behind someone’s back
behind the eight ball,39,54,behind the eight ball
behind the scenes,39,54,behind the scenes
behind the times,39,54,behind the times
Behind you!,39,54,Behind you!
belabor the point,39,54,belabor the point
believe it or not,40,55,believe it or not
"bell, book, and candle",40,55,"bell, book, and candle"
below average,40,55,below average
below par,40,55,below par
belt something out,40,55,belt something out
bend over backwards (to do something),40,55,bend over backwards (to do something)
bend someone’s ear,40,55,bend someone’s ear
bent on doing something,40,55,bent on doing something
beside oneself (with something),40,55,beside oneself (with something)
beside the point,40,55,beside the point and beside the question
beside the question,40,55,beside the point and beside the question
best bib and tucker,40,55,best bib and tucker
the best-laid plans of mice and men,40,55,the best-laid plans of mice and men and
the best-laid schemes of mice and men,40,55,the best-laid schemes of mice and men
the best part of something,40,55,the best part of something
bet one’s bottom dollar,40,55,bet one’s bottom dollar and bet one’s life
bet one’s life,40,55,bet one’s bottom dollar and bet one’s life
better late than never,40,55,better late than never
better off (doing something),40,55,better off (doing something) and better off (if something were done)
better off (if something were done),40,55,better off (doing something) and better off (if something were done)
better off (if one were somewhere else),41,56,better off (if one were somewhere else)
better off (somewhere),41,56,better off (somewhere) and better off (if one were somewhere else)
between a rock and a hard place,41,56,between a rock and a hard place and between the devil and the deep blue sea
between the devil and the deep blue sea,41,56,between a rock and a hard place and between the devil and the deep blue sea
between life and death,41,56,between life and death
"between you, me, and the lamppost",41,56,"between you, me, and the lamppost"
betwixt and between,41,56,betwixt and between 1.
beyond a reasonable doubt,41,56,beyond a reasonable doubt
beyond measure,41,56,beyond measure
beyond one’s depth,41,56,beyond one’s depth 1.
beyond one’s means,41,56,beyond one’s means
beyond the call of duty,41,56,beyond the call of duty
beyond the pale,41,56,beyond the pale
beyond the shadow of a doubt,41,56,beyond the shadow of a doubt
beyond words,41,56,beyond words
bid adieu to someone or something,41,56,bid adieu to someone or something and bid someone or something adieu
bid someone or something adieu,41,56,bid adieu to someone or something and bid someone or something adieu
bide one’s time,42,57,bide one’s time
big and bold,42,57,big and bold
big as all outdoors,42,57,big as all outdoors
big as life,42,57,big as life
big as life and twice as ugly,42,57,big as life and twice as ugly
a big frog in a small pond,42,57,a big frog in a small pond
the big moment,42,57,the big moment and
big of someone,42,57,big of someone
binge and purge,42,57,binge and purge
A bird in the hand is worth two in the bush.,42,57,A bird in the hand is worth two in the bush.
the birds and the bees,42,57,the birds and the bees
a bird’s-eye view,42,57,a bird’s-eye view 1.
Birds of a feather flock together.,42,57,Birds of a feather flock together.
bite off more than one can chew,42,57,bite off more than one can chew
bite one’s nails,42,57,bite one’s nails
bite one’s tongue,42,57,bite one’s tongue
bite someone’s head off,43,58,bite someone’s head off
bite the bullet,43,58,bite the bullet
bite the dust,43,58,bite the dust
bite the hand that feeds one,43,58,bite the hand that feeds one
a bitter pill to swallow,43,58,a bitter pill to swallow
black-and-blue,43,58,black-and-blue
black as a skillet,43,58,black as a skillet
black as a stack of black cats,43,58,black as a stack of black cats
black as a sweep,43,58,black as a sweep
black as coal,43,58,black as coal
black as night,43,58,black as night
black as one is painted,43,58,black as one is painted
black as pitch,43,58,black as pitch
black as the ace of spades,43,58,black as the ace of spades
black out,43,58,black out
the black sheep of the family,43,58,the black sheep of the family
blast off,43,58,blast off
blaze a trail (in something,43,58,blaze a trail (in something
bleep something out,43,58,bleep something out
a blessing in disguise,43,58,a blessing in disguise
blind as a bat,43,58,blind as a bat
the blind leading the blind,43,58,the blind leading the blind
Blood is thicker than water.,44,59,Blood is thicker than water.
Blood runs thicker than water.,44,59,Blood runs thicker than water. and Blood is thicker than water.
"blood, sweat, and tears",44,59,"blood, sweat, and tears"
bloody but unbowed,44,59,bloody but unbowed
blow a fuse,44,59,blow a fuse 1.
blow a gasket,44,59,blow a gasket and blow a fuse; blow one’s cork; blow one’s top; blow one’s stack
blow one’s cork,44,59,blow a gasket and blow a fuse; blow one’s cork; blow one’s top; blow one’s stack
blow one’s top,44,59,blow a gasket and blow a fuse; blow one’s cork; blow one’s top; blow one’s stack
blow one’s stack,44,59,blow a gasket and blow a fuse; blow one’s cork; blow one’s top; blow one’s stack
blow-by-blow account,44,59,blow-by-blow account and blow-byblow description
blow-byblow description,44,59,blow-by-blow account and blow-byblow description
blow-by-blow description,44,59,blow-by-blow description
blow hot and cold,44,59,blow hot and cold
blow off steam,44,59,blow off steam
blow one’s cookies,44,59,blow one’s cookies
blow one’s cool,44,59,blow one’s cool
blow one’s lines,44,59,blow one’s lines
blow one’s lunch,44,59,blow one’s lunch and blow one’s cookies
blow one’s nose,44,59,blow one’s nose
blow one’s own horn,44,59,blow one’s own horn
blow over,44,59,blow over
blow someone or something away,44,59,blow someone or something away 1.
blow someone or something off,44,59,blow someone or something off 1.
blow someone or something to smithereens,45,60,blow someone or something to smithereens
blow someone’s cover,45,60,blow someone’s cover
blow someone’s mind,45,60,blow someone’s mind 1.
blow something,45,60,blow something
blow something out of all proportion,45,60,blow something out of all proportion
blow the lid off (something),45,60,blow the lid off (something)
blow the whistle (on someone),45,60,blow the whistle (on someone)
blow up,45,60,blow up
blow up (at someone),45,60,blow up (at someone)
